"gene_id","gene_body_methylation","promoter_methylation"
"ENSMUSG00000000001",70.6991063382541,23.5841473341473
"ENSMUSG00000000003",68.4926033905626,54.2857142857143
"ENSMUSG00000000028",79.1431331953071,12.5656167979003
"ENSMUSG00000000031",64.2946949118598,66.5145502645503
"ENSMUSG00000000037",72.98109054688,61.4880952380952
"ENSMUSG00000000049",67.6640839032143,60.4838709677419
"ENSMUSG00000000056",70.9054570733403,67.9710144927536
"ENSMUSG00000000058",43.7031241850519,76.1111111111111
"ENSMUSG00000000078",29.2194700460829,89.0714285714286
"ENSMUSG00000000085",76.4421589756097,73.4444444444444
"ENSMUSG00000000088",34.2050587172538,88.75
"ENSMUSG00000000093",30.0513580068517,15.605103920021
"ENSMUSG00000000094",58.4973025109436,87.0670995670996
"ENSMUSG00000000103",82.0512820512821,NA
"ENSMUSG00000000120",43.4237107921318,43.0720741247057
"ENSMUSG00000000125",48.4111068669892,0.726744186046512
"ENSMUSG00000000126",54.5368230048937,44.5480225988701
"ENSMUSG00000000127",78.8336121543052,83.0128205128205
"ENSMUSG00000000131",77.2055072001993,34.5751633986928
"ENSMUSG00000000134",57.659889982437,79.6409674981104
"ENSMUSG00000000142",58.3723557436924,43.9583333333333
"ENSMUSG00000000148",76.0437082052284,30.8403361344538
"ENSMUSG00000000149",67.4707985594816,27.7230259192285
"ENSMUSG00000000154",70.2528080441216,84.3109668109668
"ENSMUSG00000000157",70.3868662201996,89.2380952380952
"ENSMUSG00000000159",72.2079801188193,73.5636856368564
"ENSMUSG00000000167",56.7623824221046,77.9586563307493
"ENSMUSG00000000168",66.0886644219978,23.2060185185185
"ENSMUSG00000000171",47.6578332892766,14.1185559769631
"ENSMUSG00000000182",38.622311827957,86.6524216524217
"ENSMUSG00000000183",60.2318989785297,85.567032967033
"ENSMUSG00000000184",55.4501283334036,6.16788321167883
"ENSMUSG00000000194",78.3163700819636,93.75
"ENSMUSG00000000197",69.4225905042947,47.5793650793651
"ENSMUSG00000000202",19.1593631317558,65.1854928017719
"ENSMUSG00000000204",73.5736705228231,65.9722222222222
"ENSMUSG00000000214",68.3230926779314,56.3961038961039
"ENSMUSG00000000215",73.5422257128521,86
"ENSMUSG00000000216",64.2366020590366,64.8333333333333
"ENSMUSG00000000223",75.6776608503582,71.474358974359
"ENSMUSG00000000244",59.8681082739054,70.4924242424242
"ENSMUSG00000000247",28.0834127572452,51.2857142857143
"ENSMUSG00000000248",79.8602850388565,80.1834130781499
"ENSMUSG00000000253",62.3703689508527,100
"ENSMUSG00000000263",64.7964016355184,7.71505376344086
"ENSMUSG00000000266",69.3128153928592,71.1111111111111
"ENSMUSG00000000275",62.1918550316201,56.016731016731
"ENSMUSG00000000276",62.4399240147743,60.5268490374873
"ENSMUSG00000000278",81.9308710285644,49.9145299145299
"ENSMUSG00000000282",36.5594408415247,32
"ENSMUSG00000000290",74.7425972553524,83.6666666666667
"ENSMUSG00000000295",65.2494276434206,62.5555555555556
"ENSMUSG00000000296",71.2875849097794,41.7361111111111
"ENSMUSG00000000301",74.321996437746,40.3571428571429
"ENSMUSG00000000303",68.9088414972561,83.7215909090909
"ENSMUSG00000000305",67.8247801775044,60.8333333333333
"ENSMUSG00000000308",43.0940570672714,14.3666666666667
"ENSMUSG00000000317",30.9500558035714,11.1446886446886
"ENSMUSG00000000318",68.4229881698236,76.4540816326531
"ENSMUSG00000000320",50.814978566968,66.9503546099291
"ENSMUSG00000000325",66.6666666666667,NA
"ENSMUSG00000000339",71.1891166937039,65.7771787960467
"ENSMUSG00000000340",79.4024031524032,88.5070785070785
"ENSMUSG00000000346",19.0279761904762,31.974358974359
"ENSMUSG00000000355",61.9176087701268,75.1269841269841
"ENSMUSG00000000359",54.1525269111476,84.5701058201058
"ENSMUSG00000000365",76.2708689713702,65.3846153846154
"ENSMUSG00000000374",78.2347767571115,15.6388888888889
"ENSMUSG00000000378",76.6043020666158,95.1111111111111
"ENSMUSG00000000381",83.445560515873,67.5255102040816
"ENSMUSG00000000384",65.0105526975333,14.4140211640212
"ENSMUSG00000000385",60.8486110880747,26.3622170179547
"ENSMUSG00000000386",71.0280023959269,42.5925925925926
"ENSMUSG00000000392",77.5762605255886,27.1544715447154
"ENSMUSG00000000394",82.4241071428571,73.5555555555556
"ENSMUSG00000000399",77.9113355780023,35.0735930735931
"ENSMUSG00000000402",71.874844643301,41.5132275132275
"ENSMUSG00000000409",70.2024299037573,74.8748473748474
"ENSMUSG00000000411",78.1257631257631,17.0629897528632
"ENSMUSG00000000416",71.1232844207429,33.3760683760684
"ENSMUSG00000000420",64.0335917183492,61.6666666666667
"ENSMUSG00000000435",38.8477088948787,50.3745407135238
"ENSMUSG00000000439",60.0223471532196,69.7916666666667
"ENSMUSG00000000440",67.2365403760753,96.4285714285714
"ENSMUSG00000000441",60.4978121230821,34.3469387755102
"ENSMUSG00000000486",54.2697596219536,8.19444444444444
"ENSMUSG00000000489",37.2559545685235,71.8860877684407
"ENSMUSG00000000530",53.5855585041842,66.4285714285714
"ENSMUSG00000000531",47.9934176694436,51.1949685534591
"ENSMUSG00000000532",67.2809999718577,68.2797619047619
"ENSMUSG00000000538",73.2317454144926,27.0276915113872
"ENSMUSG00000000544",64.1638918298135,57.1942110177404
"ENSMUSG00000000552",53.9528283101062,33.5218253968254
"ENSMUSG00000000555",60.2648928097135,14.9327122153209
"ENSMUSG00000000560",65.0738722062251,5.18518518518519
"ENSMUSG00000000561",57.3650427913101,61.3636363636364
"ENSMUSG00000000562",64.6158066656459,71.247947454844
"ENSMUSG00000000563",39.4384167168977,75.6896551724138
"ENSMUSG00000000567",37.4607036421658,29.4308943089431
"ENSMUSG00000000568",34.8484164597909,10.2277432712215
"ENSMUSG00000000579",56.9937082033856,92.3727422003284
"ENSMUSG00000000581",57.6905783772737,82.2222222222222
"ENSMUSG00000000594",74.7044741314082,77.4691358024691
"ENSMUSG00000000600",67.4407572625394,37.5925925925926
"ENSMUSG00000000605",55.330239278652,44.156746031746
"ENSMUSG00000000606",67.7210884353741,57.5
"ENSMUSG00000000617",55.9979871769645,14.5833333333333
"ENSMUSG00000000627",61.3902877168183,60.2857142857143
"ENSMUSG00000000628",63.3467017766381,16.6868085618086
"ENSMUSG00000000631",66.6953761358954,70.8418367346939
"ENSMUSG00000000632",48.8292771162464,51.0966810966811
"ENSMUSG00000000673",81.5343083424844,75.3104575163399
"ENSMUSG00000000682",72.0338256514727,78.8
"ENSMUSG00000000686",57.4855130624361,3.78234989648033
"ENSMUSG00000000690",9.94090196879896,38.9301801801802
"ENSMUSG00000000693",71.7881652472847,32.6243781094527
"ENSMUSG00000000701",70.1944444444444,62.2448979591837
"ENSMUSG00000000706",31.3396956578775,32.9771398192451
"ENSMUSG00000000708",70.9587849302364,89.1025641025641
"ENSMUSG00000000711",64.7021966681409,17.5757575757576
"ENSMUSG00000000724",83.5124049619848,83.2142857142857
"ENSMUSG00000000730",63.1332304526749,71.4153439153439
"ENSMUSG00000000731",67.6282051282051,45.3703703703704
"ENSMUSG00000000732",64.9059553304836,71.1111111111111
"ENSMUSG00000000738",73.440822793764,78.0006105006105
"ENSMUSG00000000739",74.2874937717987,60.1169590643275
"ENSMUSG00000000740",17.4362446400361,65.5004859086492
"ENSMUSG00000000743",67.7563295290568,21.3698630136986
"ENSMUSG00000000751",81.9290097258507,11.7295597484277
"ENSMUSG00000000753",67.095758521988,82.1971595655806
