"gene_id","gene_body_methylation","promoter_methylation"
"ENSMUSG00000000001",74.3028027092163,23.804347826087
"ENSMUSG00000000003",67.2118022822248,66.6666666666667
"ENSMUSG00000000028",77.7641052770141,12.0877643861515
"ENSMUSG00000000031",68.4816607289174,51.913394145537
"ENSMUSG00000000037",71.9410591176233,70.0641025641026
"ENSMUSG00000000049",67.7105474949417,63.4415584415584
"ENSMUSG00000000056",73.7174104746569,62.6630434782609
"ENSMUSG00000000058",48.0345117845118,81.6600529100529
"ENSMUSG00000000078",28.5896650326797,87.0386904761905
"ENSMUSG00000000085",75.6762651309976,71.9911092491738
"ENSMUSG00000000088",32.7341813056099,88.0357142857143
"ENSMUSG00000000093",31.943792727975,20.8636363636364
"ENSMUSG00000000094",58.9336879765029,80.8080808080808
"ENSMUSG00000000103",45,NA
"ENSMUSG00000000120",39.5494584780299,37.8740232513817
"ENSMUSG00000000125",49.5953867619837,2.09325396825397
"ENSMUSG00000000126",47.7717483335795,49.5831549402978
"ENSMUSG00000000127",77.4718562914524,72.9166666666667
"ENSMUSG00000000131",76.6760745661695,30.3801169590643
"ENSMUSG00000000134",57.8217205405921,77.5697255960414
"ENSMUSG00000000142",55.5268702763726,46.7376373626374
"ENSMUSG00000000148",75.116118308338,29.1419369680239
"ENSMUSG00000000149",65.020007593256,28.3119658119658
"ENSMUSG00000000154",68.8977556075257,83.5763888888889
"ENSMUSG00000000157",72.2675216349915,87.9710144927536
"ENSMUSG00000000159",70.7050144755063,75.1216931216931
"ENSMUSG00000000167",55.078442229605,73.5261904761905
"ENSMUSG00000000168",67.6169364754574,20.418118466899
"ENSMUSG00000000171",58.2160792356645,13.0681818181818
"ENSMUSG00000000182",35.8476112047541,85.3663003663004
"ENSMUSG00000000183",59.6450493950494,86.0902255639098
"ENSMUSG00000000184",53.613985745043,3.56850715746421
"ENSMUSG00000000194",75.3349806357445,89.4761904761905
"ENSMUSG00000000197",69.7232555207851,49.1071428571428
"ENSMUSG00000000202",21.8606397888805,68.2251082251082
"ENSMUSG00000000204",73.1764069264069,76.140350877193
"ENSMUSG00000000214",66.5986911116781,55.4365079365079
"ENSMUSG00000000215",71.5835337502004,93.0059523809524
"ENSMUSG00000000216",65.10718401658,74.9458874458875
"ENSMUSG00000000223",76.6678030108451,74.8351648351648
"ENSMUSG00000000244",56.9061421670117,73.7301587301587
"ENSMUSG00000000247",24.9981006244623,45.3356481481481
"ENSMUSG00000000248",79.8695175227574,52.3351648351648
"ENSMUSG00000000253",65.1203696701705,95.959595959596
"ENSMUSG00000000263",64.5355162928067,12.2395833333333
"ENSMUSG00000000266",70.1466093645674,83.768115942029
"ENSMUSG00000000275",63.5021585749741,66.5740740740741
"ENSMUSG00000000276",61.3722482516189,56.3498789346247
"ENSMUSG00000000278",81.9501196075624,55.3968253968254
"ENSMUSG00000000282",33.4860356605919,43.0540293040293
"ENSMUSG00000000290",78.3582816885737,80.9432234432234
"ENSMUSG00000000295",64.3432296623786,60.3645833333333
"ENSMUSG00000000296",70.8992112633684,49.4123931623932
"ENSMUSG00000000301",75.8826941225581,41.1164021164021
"ENSMUSG00000000303",69.2578368511425,74.095695970696
"ENSMUSG00000000305",69.2886918023863,60.4597701149425
"ENSMUSG00000000308",40.5810540469631,15.4547886570358
"ENSMUSG00000000317",30.4239800603437,9.97619047619048
"ENSMUSG00000000318",68.9481249624692,75.7019704433498
