"gene_id","gene_body_methylation","promoter_methylation"
"ENSMUSG00000000001",75.8107323952863,19.0222222222222
"ENSMUSG00000000003",71.5767090850983,52.5641025641026
"ENSMUSG00000000028",75.6603721730692,11.6065228174603
"ENSMUSG00000000031",69.4149577274577,67.0684523809524
"ENSMUSG00000000037",72.2590589624401,80.7142857142857
"ENSMUSG00000000049",66.9161742258994,64.5378151260504
"ENSMUSG00000000056",74.6311571311571,69.2646859313526
"ENSMUSG00000000058",44.5866768732622,83.8194444444444
"ENSMUSG00000000078",30.4733149298367,87.9400061218243
"ENSMUSG00000000085",77.3886046135869,65.1227678571429
"ENSMUSG00000000088",31.2347038811883,89.3353174603175
"ENSMUSG00000000093",32.2528905770664,19.7859624451981
"ENSMUSG00000000094",55.6685394185394,87.6934523809524
"ENSMUSG00000000103",52.3809523809524,NA
"ENSMUSG00000000120",42.3855333379143,46.8787878787879
"ENSMUSG00000000125",49.4529758458799,2.70325203252033
"ENSMUSG00000000126",50.1759436277203,39.2388167388167
"ENSMUSG00000000127",77.3194282600524,74.4543650793651
"ENSMUSG00000000131",76.4666416686444,24.68820861678
"ENSMUSG00000000134",60.4238392226072,81.1742424242424
"ENSMUSG00000000142",55.6433607373065,44.1933916423712
"ENSMUSG00000000148",75.9984026390276,33.2511133949983
"ENSMUSG00000000149",65.6242631827047,36.2259816207185
"ENSMUSG00000000154",66.7496673783223,80.4666713757623
"ENSMUSG00000000157",69.650256316923,67.4666666666667
"ENSMUSG00000000159",72.4661070831992,71.1568986568987
"ENSMUSG00000000167",56.8999896302528,75.7396149949341
"ENSMUSG00000000168",64.880702017926,25.297619047619
"ENSMUSG00000000171",55.4868728897855,12.9887218045113
"ENSMUSG00000000182",33.2862718089991,78.283004258614
"ENSMUSG00000000183",61.3734624284496,82.590157858015
"ENSMUSG00000000184",56.3100896924426,4.63869463869464
"ENSMUSG00000000194",79.1533415582596,88.0208333333333
"ENSMUSG00000000197",69.2401407112076,56.7948717948718
"ENSMUSG00000000202",19.5674504489094,70.6201550387597
"ENSMUSG00000000204",78.3824955908289,72.6708074534162
"ENSMUSG00000000214",65.4553833077572,50.905377691092
"ENSMUSG00000000215",71.9931468689075,83.3333333333333
"ENSMUSG00000000216",64.421629050112,72.8822055137845
"ENSMUSG00000000223",75.3581681873218,86.8666666666667
"ENSMUSG00000000244",58.7317002625373,73.5185185185185
"ENSMUSG00000000247",27.3955520018953,29.2063492063492
"ENSMUSG00000000248",81.9373402479204,79.1666666666667
"ENSMUSG00000000253",64.7157743265154,90.0275482093664
"ENSMUSG00000000263",65.7040669879321,15.0297619047619
"ENSMUSG00000000266",69.9791105083076,73.5416666666667
"ENSMUSG00000000275",63.827241488933,59.8062558356676
"ENSMUSG00000000276",64.8484027664915,49.8181818181818
"ENSMUSG00000000278",81.0584839996605,61.2820512820513
"ENSMUSG00000000282",36.9143238009409,44.5611577964519
