"gene_id","gene_body_methylation","promoter_methylation"
"ENSMUSG00000000001",74.0137478934159,21.5972222222222
"ENSMUSG00000000003",67.6236618678479,70.3333333333333
"ENSMUSG00000000028",75.093820365274,12.8761061946903
"ENSMUSG00000000031",72.6207634957635,62.9466490299824
"ENSMUSG00000000037",73.3119168758028,79.7916666666667
"ENSMUSG00000000049",65.7559998339146,65.9398496240601
"ENSMUSG00000000056",71.3853727144866,71.5891472868217
"ENSMUSG00000000058",44.856002281152,89.8148148148148
"ENSMUSG00000000078",30.1672099480864,89.3872549019608
"ENSMUSG00000000085",75.5975665052098,69.4444444444444
"ENSMUSG00000000088",28.9135733033371,76.7857142857143
"ENSMUSG00000000093",26.0546880743387,16.40625
"ENSMUSG00000000094",55.4417751222863,69.7474747474748
"ENSMUSG00000000103",75,NA
"ENSMUSG00000000120",41.0525323659126,49.0064102564103
"ENSMUSG00000000125",49.3262865137865,3.78086419753086
"ENSMUSG00000000126",46.5943933420937,27.8894269572236
"ENSMUSG00000000127",77.9163030856175,76.6666666666667
"ENSMUSG00000000131",78.2640155132992,43.2142857142857
"ENSMUSG00000000134",60.3316029416658,80.875
"ENSMUSG00000000142",57.6986816312871,58.1196581196581
"ENSMUSG00000000148",76.1546434494196,30.7012648809524
"ENSMUSG00000000149",65.6441619742362,32.3188405797101
"ENSMUSG00000000154",72.8395437777101,71.9139705323916
"ENSMUSG00000000157",70.4876489602933,68.25
"ENSMUSG00000000159",73.8792607652257,75.2083333333333
"ENSMUSG00000000167",55.703396087117,80.8643892339545
"ENSMUSG00000000168",64.0229491775884,17.2868217054264
"ENSMUSG00000000171",51.6655170226599,14.4907407407407
"ENSMUSG00000000182",33.5425685425685,89.7542242703533
"ENSMUSG00000000183",60.8925353925354,88.4615384615385
"ENSMUSG00000000184",54.5695831460125,4.31006493506494
"ENSMUSG00000000194",79.616103327916,87.781954887218
"ENSMUSG00000000197",68.2957292182931,83.0555555555556
"ENSMUSG00000000202",20.1389495655551,65.1388888888889
"ENSMUSG00000000204",74.4927328361063,49.1228070175439
"ENSMUSG00000000214",66.9677991714466,51.6439909297052
"ENSMUSG00000000215",72.0782037918697,93.75
"ENSMUSG00000000216",64.8517199697457,67.7430555555556
"ENSMUSG00000000223",77.4103928349738,79.9305555555556
"ENSMUSG00000000244",61.4352526724976,65.3174603174603
"ENSMUSG00000000247",26.3605267344666,45.7276995305164
"ENSMUSG00000000248",77.3404674369748,70.2941176470588
"ENSMUSG00000000253",64.6525745702961,94.1666666666667
"ENSMUSG00000000263",64.5334831481328,12.2619047619048
"ENSMUSG00000000266",71.4565173018274,89.2063492063492
"ENSMUSG00000000275",60.2877590148805,63.9583333333333
"ENSMUSG00000000276",60.1502601826894,49.3
"ENSMUSG00000000278",83.4307459655165,46.4285714285714
"ENSMUSG00000000282",36.1661476579733,35
"ENSMUSG00000000290",75.8975034658628,77.124183006536
"ENSMUSG00000000295",65.0469874135355,68.9285714285714
"ENSMUSG00000000296",71.6637518527918,52.6190476190476
"ENSMUSG00000000301",74.1441308745262,41.7753623188406
"ENSMUSG00000000303",69.8786910639946,77.9751131221719
"ENSMUSG00000000305",67.982570724808,62.1536796536797
"ENSMUSG00000000308",40.6703514739229,10.2338052338052
"ENSMUSG00000000317",28.7249494392352,9.87654320987654
"ENSMUSG00000000318",73.0523734651093,85.6
"ENSMUSG00000000320",49.900224552631,63.6752136752137
"ENSMUSG00000000325",100,NA
"ENSMUSG00000000339",65.3937994951067,59.2538265306122
"ENSMUSG00000000340",80.7784695799224,88.1481481481482
"ENSMUSG00000000346",14.2524005486968,32.1763392857143
"ENSMUSG00000000355",70.1683501683502,81.0666666666667
"ENSMUSG00000000359",53.0824679162445,77.2380952380952
"ENSMUSG00000000365",77.1852437140048,65.1041666666667
"ENSMUSG00000000374",76.69895750508,14.963556851312
"ENSMUSG00000000378",74.834190849615,87
"ENSMUSG00000000381",80.2714515757994,71.8965517241379
"ENSMUSG00000000384",60.4642087675329,22.6107142857143
"ENSMUSG00000000385",62.2396051529116,27.890625
"ENSMUSG00000000386",71.9882498453927,51.8939393939394
"ENSMUSG00000000392",78.0070149066767,43.3760683760684
"ENSMUSG00000000394",79.4758597883598,78.1609195402299
"ENSMUSG00000000399",76.6309605798242,30.233918128655
"ENSMUSG00000000402",69.5985082847032,64.2045454545455
"ENSMUSG00000000409",69.5109859324035,71.7378917378917
"ENSMUSG00000000411",77.0833333333333,22.0991561181435
"ENSMUSG00000000416",73.731714091139,37.8571428571429
"ENSMUSG00000000420",63.324904564035,82.7956989247312
"ENSMUSG00000000435",59.9286442405708,47.9661016949153
"ENSMUSG00000000439",60.9470462713387,71.2698412698413
"ENSMUSG00000000440",68.2058863676511,90
"ENSMUSG00000000441",62.908337396392,21.766607877719
"ENSMUSG00000000486",50.8940148829485,10.3676470588235
"ENSMUSG00000000489",33.3899057270393,65.8653846153846
