"gene_id","gene_body_methylation","promoter_methylation"
"ENSMUSG00000000001",71.8442002004994,25.785002035002
"ENSMUSG00000000003",76.7134041172503,86.4583333333333
"ENSMUSG00000000028",82.310815726914,11.3600288600289
"ENSMUSG00000000031",58.4762242965368,66.6881434168668
"ENSMUSG00000000037",79.6235815691993,69.0964590964591
"ENSMUSG00000000049",67.1885811531084,88.3429533429533
"ENSMUSG00000000056",77.1326329497061,71.2716049382716
"ENSMUSG00000000058",54.3411770166156,94.8115079365079
"ENSMUSG00000000078",33.5020565403777,93.3646812957158
"ENSMUSG00000000085",77.6333015385585,79.336917562724
"ENSMUSG00000000088",34.6177888865636,90.2601731601732
"ENSMUSG00000000093",18.256100324782,13.5385085928564
"ENSMUSG00000000094",48.2200820356761,77.982572982573
"ENSMUSG00000000103",35.6666666666667,NA
"ENSMUSG00000000120",39.2987387420161,39.3597568187732
"ENSMUSG00000000125",57.7500328685852,6.06195887445887
"ENSMUSG00000000126",59.310770383298,59.4800014800015
"ENSMUSG00000000127",82.2007176980524,82.3357801618671
"ENSMUSG00000000131",77.964719104425,35.7532956685499
"ENSMUSG00000000134",60.2130741469708,89.4212156407278
"ENSMUSG00000000142",61.7842683005942,72.0785714285714
"ENSMUSG00000000148",81.4868033487523,22.5833278674188
"ENSMUSG00000000149",67.5906957919017,30.6719576719577
"ENSMUSG00000000154",72.8894906521564,84.626159554731
"ENSMUSG00000000157",82.0192404559665,94.8861283643892
"ENSMUSG00000000159",79.9928266187345,88.7098560354374
"ENSMUSG00000000167",59.6495270161937,76.7751987964754
"ENSMUSG00000000168",70.8804243872393,11.2615789228692
"ENSMUSG00000000171",54.4398017356753,14.1650268922996
"ENSMUSG00000000182",41.6474542911325,92.7609126984127
"ENSMUSG00000000183",67.8032944213147,85.7720057720058
"ENSMUSG00000000184",55.3281575729959,2.45526695526696
"ENSMUSG00000000194",83.9772055368154,94.978354978355
"ENSMUSG00000000197",74.2887320301395,69.5555555555556
"ENSMUSG00000000202",17.5983210954517,80.8559280225947
"ENSMUSG00000000204",82.2600072286979,70.4761904761905
"ENSMUSG00000000214",71.1564925978553,71.7064308240779
"ENSMUSG00000000215",77.2982176139796,92.4242424242424
"ENSMUSG00000000216",70.197618634359,74.9300831443689
"ENSMUSG00000000223",83.7768662621143,85.0952380952381
"ENSMUSG00000000244",70.7288964857772,76.2981859410431
"ENSMUSG00000000247",16.9865252383046,24.926614481409
"ENSMUSG00000000248",85.5877724459466,83.8235294117647
"ENSMUSG00000000253",72.8730655713451,91.4166666666667
"ENSMUSG00000000263",71.5682092871336,21.4132104454685
"ENSMUSG00000000266",72.0626802716355,91.396645021645
"ENSMUSG00000000275",52.0888474913065,66.5680272108844
"ENSMUSG00000000276",67.2005443010598,77.0106856744788
"ENSMUSG00000000278",83.6489122900108,50.7051282051282
"ENSMUSG00000000282",38.3038356477714,35.09209344115
"ENSMUSG00000000290",84.1200586650843,72.3199588477366
"ENSMUSG00000000295",70.2818783933892,72.7407407407407
"ENSMUSG00000000296",77.1451248357061,52.6190476190476
"ENSMUSG00000000301",72.6257589762263,49.5536163183222
"ENSMUSG00000000303",69.4652812485027,82.6689421689422
"ENSMUSG00000000305",75.7931732862787,47.0977011494253
"ENSMUSG00000000308",43.7750114468864,9.98751248751249
"ENSMUSG00000000317",41.7543832801186,14.9973823427432
"ENSMUSG00000000318",83.1383694780556,89.7069597069597
"ENSMUSG00000000320",54.3668562882818,73.3222805563231
"ENSMUSG00000000325",50,NA
"ENSMUSG00000000339",69.7850755929538,61.757715464612
"ENSMUSG00000000340",82.188317341658,53.2109788359788
"ENSMUSG00000000346",16.5754280714911,31.8739635157546
"ENSMUSG00000000355",68.3136581985266,85.0555555555556
"ENSMUSG00000000359",52.1571716460879,89.7243107769424
"ENSMUSG00000000365",84.4157588201578,90.6593406593407
"ENSMUSG00000000374",79.3612400671224,16.2957358084477
"ENSMUSG00000000378",80.5762127800265,97.45670995671
"ENSMUSG00000000381",84.9018511518511,85.6861239119304
"ENSMUSG00000000384",68.5007693252374,14.4380587484036
"ENSMUSG00000000385",72.8541797630701,44.1423391423391
"ENSMUSG00000000386",84.3218174230832,35.3268953268953
"ENSMUSG00000000392",85.1734202310871,85.8959899749374
"ENSMUSG00000000394",85.501443001443,66.6349206349206
"ENSMUSG00000000399",79.5087369275766,44.908274785324
"ENSMUSG00000000402",77.4228216228216,44.2874029044242
"ENSMUSG00000000409",73.1604377443588,80.0185311278662
"ENSMUSG00000000411",82.0418927064497,21.9850662158354
"ENSMUSG00000000416",76.4963240893473,27.9093258163026
"ENSMUSG00000000420",65.236719049496,60.1645576645577
"ENSMUSG00000000435",71.3095566050112,79.3833809048497
"ENSMUSG00000000439",72.5024887078432,81.991341991342
"ENSMUSG00000000440",70.0013301820174,100
"ENSMUSG00000000441",62.4279731440058,17.487684729064
