"gene_id","gene_body_methylation","promoter_methylation"
"ENSMUSG00000000001",74.5833021277748,27.3555555555556
"ENSMUSG00000000003",71.265925229741,56.2896825396825
"ENSMUSG00000000028",78.91051082644,15.3446444194476
"ENSMUSG00000000031",68.9466333666334,68.6365618508476
"ENSMUSG00000000037",72.0865087938259,68.4444444444444
"ENSMUSG00000000049",67.1733110395082,70.4182754182754
"ENSMUSG00000000056",71.9019681338522,73.4182355112588
"ENSMUSG00000000058",44.2536339993967,94.510582010582
"ENSMUSG00000000078",30.1514355742297,81.3584117032393
"ENSMUSG00000000085",75.829065343681,77.4404761904762
"ENSMUSG00000000088",34.8240291290084,83.9333333333333
"ENSMUSG00000000093",32.9082075140166,16.0436507936508
"ENSMUSG00000000094",56.3013951431037,77.4654377880184
"ENSMUSG00000000103",83.3333333333333,NA
"ENSMUSG00000000120",46.1155922544063,44.5415360501567
"ENSMUSG00000000125",50.411245936525,2.74074074074074
"ENSMUSG00000000126",48.7149471569761,51.2171592775041
"ENSMUSG00000000127",78.0104831665521,72.9333333333333
"ENSMUSG00000000131",77.3414155289155,38.2677708764665
"ENSMUSG00000000134",60.9975898219946,81.3971945367294
"ENSMUSG00000000142",57.7954711170259,52.6384274640089
"ENSMUSG00000000148",73.0217883967884,26.3778510047167
"ENSMUSG00000000149",67.3912632506382,26.1392405063291
"ENSMUSG00000000154",70.7616110072757,81.854859426288
"ENSMUSG00000000157",68.7299148911575,84.98075998076
"ENSMUSG00000000159",72.0675232011152,77.9814814814815
"ENSMUSG00000000167",55.8431270931271,78.7407407407407
"ENSMUSG00000000168",65.2493060761391,17.4019607843137
"ENSMUSG00000000171",58.4650939338439,13.972380952381
"ENSMUSG00000000182",36.8071655158432,84.3382936507937
"ENSMUSG00000000183",63.7535145267104,80.1926406926407
"ENSMUSG00000000184",53.851057370903,0.364583333333333
"ENSMUSG00000000194",78.3456959083163,89.2156862745098
"ENSMUSG00000000197",69.0454975462887,60.7142857142857
"ENSMUSG00000000202",19.9719682801254,59.9635188659579
"ENSMUSG00000000204",70.7552342148981,57.312925170068
"ENSMUSG00000000214",66.9757735739155,61.2198515769944
"ENSMUSG00000000215",73.1965593496409,79.1666666666667
