"gene_id","gene_body_methylation","promoter_methylation"
"ENSMUSG00000000001",75.8715156733237,23.2555555555556
"ENSMUSG00000000003",71.0081585081585,60.7142857142857
"ENSMUSG00000000028",77.0044748533121,15.2727757769775
"ENSMUSG00000000031",60.5743879472693,63.2763037227323
"ENSMUSG00000000037",70.7827031985323,79.0384615384615
"ENSMUSG00000000049",68.8516115471718,72.1607142857143
"ENSMUSG00000000056",72.574910292828,62.9563492063492
"ENSMUSG00000000058",44.0502645502646,86.2159863945578
"ENSMUSG00000000078",27.7832215918859,85.9635416666667
"ENSMUSG00000000085",78.1724646868709,74.9589490968801
"ENSMUSG00000000088",32.3755336410938,85.7809523809524
"ENSMUSG00000000093",30.7042012192227,12.6888785817357
"ENSMUSG00000000094",56.8567131829327,74.453781512605
"ENSMUSG00000000103",68.8888888888889,NA
"ENSMUSG00000000120",42.5517189267189,45.4651162790698
"ENSMUSG00000000125",49.7307754584982,3.18518518518518
"ENSMUSG00000000126",51.632293007293,41.303669008587
"ENSMUSG00000000127",77.5007392402227,65.7823129251701
"ENSMUSG00000000131",76.476569563142,31.8253968253968
"ENSMUSG00000000134",60.1184014989985,71.8452380952381
"ENSMUSG00000000142",57.5649575273501,42.3863636363636
"ENSMUSG00000000148",76.2276396218002,26.6327771984706
"ENSMUSG00000000149",65.8544810759378,32.2711119726045
"ENSMUSG00000000154",71.0983965014577,81.3259579926247
"ENSMUSG00000000157",69.658586442797,85.9621212121212
"ENSMUSG00000000159",71.7692390031008,69.2543373938723
"ENSMUSG00000000167",54.8194623194623,72.4948240165631
"ENSMUSG00000000168",68.034629714694,15.7708333333333
"ENSMUSG00000000171",53.4279038718291,14.9064395405859
"ENSMUSG00000000182",34.7475795297372,80.9259259259259
"ENSMUSG00000000183",63.1628718325376,85.1296296296296
"ENSMUSG00000000184",56.9503944444773,2.80054644808743
"ENSMUSG00000000194",78.1164566574266,96.0683760683761
"ENSMUSG00000000197",70.4146963743474,51.1721611721612
"ENSMUSG00000000202",22.017295371964,49.025358110724
"ENSMUSG00000000204",75.0892857142857,52.2619047619048
"ENSMUSG00000000214",66.1345335908018,54.9101921470343
"ENSMUSG00000000215",72.458159059639,82.3412698412698
"ENSMUSG00000000216",67.0719577761831,75.8333333333333
"ENSMUSG00000000223",77.4831000189324,66.25
"ENSMUSG00000000244",60.2395997126939,73.5507246376812
"ENSMUSG00000000247",28.3878497124766,42.4885844748858
"ENSMUSG00000000248",79.3054524840239,68.6274509803922
"ENSMUSG00000000253",65.2522395838013,87.3076923076923
"ENSMUSG00000000263",65.8279773186315,15.4232804232804
"ENSMUSG00000000266",70.0758929165482,91.5151515151515
"ENSMUSG00000000275",65.179323987271,60.5952380952381
"ENSMUSG00000000276",63.7793760404682,60.9803921568627
"ENSMUSG00000000278",83.9764713224739,46.6836734693877
"ENSMUSG00000000282",35.6002610270126,30.2482269503546
"ENSMUSG00000000290",75.0407816515411,86.9135802469136
"ENSMUSG00000000295",64.1700083542189,73.2312925170068
"ENSMUSG00000000296",72.5547689267456,38.0555555555556
"ENSMUSG00000000301",77.208738320924,45.9309523809524
"ENSMUSG00000000303",68.7613232619323,71.6436925647452
"ENSMUSG00000000305",69.0088328337248,56.025641025641
"ENSMUSG00000000308",44.1137205817438,8.27651515151515
"ENSMUSG00000000317",31.5424430641822,12.5389408099688
"ENSMUSG00000000318",65.1024924742873,79.2396313364055
"ENSMUSG00000000320",49.6048527205244,68.5534591194968
"ENSMUSG00000000325",100,NA
"ENSMUSG00000000339",68.1324839877472,53.0518812463257
"ENSMUSG00000000340",80.5345151661237,80.0220458553792
"ENSMUSG00000000346",17.9783258594918,36.1475409836066
"ENSMUSG00000000355",69.7203621031746,75.5047619047619
"ENSMUSG00000000359",52.8658845180584,75.0657894736842
"ENSMUSG00000000365",78.1939267691516,80.7525252525253
"ENSMUSG00000000374",76.5400195868946,14.5441595441595
"ENSMUSG00000000378",74.819626030359,88.0952380952381
"ENSMUSG00000000381",87.0119047619048,80.2142857142857
"ENSMUSG00000000384",64.3674193674194,22.9032258064516
"ENSMUSG00000000385",63.1183345734127,24.7222222222222
"ENSMUSG00000000386",74.7077922077922,38.6473429951691
"ENSMUSG00000000392",77.0910227038474,42.0068027210884
"ENSMUSG00000000394",81.687164932198,80.2355350742448
"ENSMUSG00000000399",76.6689011598821,41.9126984126984
"ENSMUSG00000000402",71.7090268614333,41.0992907801418
"ENSMUSG00000000409",69.9066783532716,69.2123691581896
"ENSMUSG00000000411",73.3797155225727,14.957805907173
"ENSMUSG00000000416",72.9306898909172,32.3222912353347
"ENSMUSG00000000420",62.1187004330661,64.0972222222222
"ENSMUSG00000000435",49.5221813584645,58.8913690476191
"ENSMUSG00000000439",62.6464517047477,71.0833333333333
"ENSMUSG00000000440",66.8454945342817,76.5909090909091
"ENSMUSG00000000441",62.3044664763908,27.8509473618169
"ENSMUSG00000000486",53.7227699510937,8.86111111111111
"ENSMUSG00000000489",33.6523884313518,62.0405179615706
"ENSMUSG00000000530",54.5134557511202,62.0114942528736
"ENSMUSG00000000531",51.1453770910511,39.9872448979592
"ENSMUSG00000000532",69.6432789533882,83.1746031746032
"ENSMUSG00000000538",73.4397339187758,24.6944035346097
"ENSMUSG00000000544",65.2532943323686,47.7734644582471
"ENSMUSG00000000552",52.5947830143943,30.6148282097649
"ENSMUSG00000000555",55.7361598543963,22.2448979591837
"ENSMUSG00000000560",65.6221568111028,6.55534941249227
"ENSMUSG00000000561",54.238130355387,62.4358974358974
"ENSMUSG00000000562",67.0078992317798,75.6716938975004
